Indeks,Manufacturer Part Number,Beskrivelse,Attrition %,Ønsket mængde 1,Pakkemængde 1,Pakketype 1,Digi-Keys varenummer 1,Enhedspris 1,Udvidet pris 1,Minimum ordreantal 1,Produktnoter
1,GCJ21BR72A104KA01L,CAP CER 0.1UF 100V X7R 0805,,2,2,Cut Tape (CT),490-5825-1-ND,"0,24000","0,48 $",1,
2,QBLP615-R,LED RED CLEAR 1206 SMD R/A,,1,1,Cut Tape (CT),1516-1076-1-ND,"0,32000","0,32 $",1,
3,IRLML2244TRPBF,MOSFET P-CH 20V 4.3A SOT23,,1,1,Cut Tape (CT),IRLML2244TRPBFCT-ND,"0,42000","0,42 $",1,
4,ERJ-6ENF3303V,RES SMD 330K OHM 1% 1/8W 0805,,1,1,Cut Tape (CT),P330KCCT-ND,"0,12000","0,12 $",1,
5,ERJ-6ENF1003V,RES SMD 100K OHM 1% 1/8W 0805,,3,3,Cut Tape (CT),P100KCCT-ND,"0,12000","0,36 $",1,
6,ERJ-6ENF4701V,RES SMD 4.7K OHM 1% 1/8W 0805,,3,3,Cut Tape (CT),P4.70KCCT-ND,"0,12000","0,36 $",1,
7,B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V,,1,1,Cut Tape (CT),SW1020CT-ND,"1,17000","1,17 $",1,
8,NORA-B206-00B,"NRF54L15, PCB ANTENNA, OPEN CPU",,1,1,Cut Tape (CT),672-NORA-B206-00BCT-ND,"6,43000","6,43 $",1,
9,RV-3028-C7 32.768KHZ 1PPM-TA-QA,IC RTC CLK/CALENDAR I2C 8SON,,1,1,Cut Tape (CT),2195-RV-3028-C732.768KHZ1PPM-TA-QACT-ND,"2,64000","2,64 $",1,
10,"Q 0,032768-JTX210-7-20-T1-HMR-70K-LF",XTAL 32.768KHZ 7PF 70KOHM SMD,,1,1,Cut Tape (CT),"1908-Q0,032768-JTX210-7-20-T1-HMR-70K-LFCT-ND","0,37000","0,37 $",1,
11,HDC2080DMBR,SENSOR HUMIDITY,,1,1,Cut Tape (CT),296-52638-1-ND,"2,02000","2,02 $",1,
12,GRM31CR60J227ME11L,CAP CER 220UF 6.3V X5R 1206,,1,1,Cut Tape (CT),490-13970-1-ND,"1,09000","1,09 $",1,
13,110TR,BATT CONTACT SPRING MULTIPLE SMD,,1,1,Cut Tape (CT),36-110CT-ND,"0,38000","0,38 $",1,
14,112TR,BATT CONTACT SPRING MULTIPLE SMD,,1,1,Cut Tape (CT),36-112CT-ND,"0,38000","0,38 $",1,
15,ERJ-P06J101V,RES SMD 100 OHM 5% 1/2W 0805,,2,2,Cut Tape (CT),P100ADCT-ND,"0,14000","0,28 $",1,
